image,name,description,scale,type,location,museum,period,source_text,source,stl,info,licence,owner,more info
velociraptor_claw.png,Velociraptor claw,"velociraptor is a small carnivorous dinosaur. It was about the size of a turkey. Recently paleontologists have discovered that velociraptor was almost certainly featured. This is the ""killing claw"" - the second toe claw, that may have been used to hold struggling prey in a similar way to modern hawks.   ",1,claw,,,72mya,thingiverse,http://www.thingiverse.com/thing:196578,velociraptor_claw.stl,,Creative Commons - Attribution - Non-Commercial license,JulPalis,
deinonychus_claw.png,deinonychus claw,"deinonychus is another carnivorous dinosaur in the same family as velociraptor (the Dromaeosauridae family). Deinonychus could grow up to 2.5m long and was probably feathered, like velociraptor.",1,claw,,,80 mya,sketchfab,https://sketchfab.com/3d-models/deinonychus-velociraptor-claw-ba0ed7ec94e84af385cca0cb425fe5f1,deinonychus_claw.stl,,CC Attribution,Ian Sayers,
megalodon.png,Megalodon tooth,"Megalodon (meaning giant tooth), is the largest ever shark to have lived. Luckily, it went extinct 2.6mya. Most of what we know about Megalodon comes from teeth like this one. Scientists still disagree on how big they really were, estimates range from 10-25m long! ",1,tooth,,,5mya,thingiverse,https://www.thingiverse.com/thing:1380493,MegaTooth.stl,,,,
trex_claw.png,Nanotyrannus lancensis claw,Nanotyrannus lancensis is a small tyrannosaur. Scientists are not sure if this dinosaur is its own species or a young T. rex,1,claw,Wyoming USA,Hanson Research Station,70 mya,fossil.swau.edu,https://fossil.swau.edu/link/Public/Browse/Specimen/HRS01518,HRS01518.stl,"From N. lancensis ""Zury"" found by Zury Franco in 2001",,,
brachiosauridae.png,Brachiosauridae tooth,This a tooth from a sauropod dinosaur (a group of long necked dinosaurs that includes Brachiosaurus). Sauropods were herbivores and used their long necks to reach the leaves and foliage on trees. They had rake like teeth that could be used to strip leaves from branches. ,1,tooth,"Mahajanga Basin, Madagascar",Museo di Storia Naturale di Milano,170 mya,datadryad,https://datadryad.org/stash/dataset/doi:10.5061/dryad.j67f87m,MSNM_V6216.stl,,,,
hrs13935.png,Triceratops tooth,"Triceratops was a herbivore that fed on shrubs and ferns. They had very complex teeth that allowed them to them slice up tough plant material as they chewed, allowing them to eat plants that were too tough for other dinosaurs.  ",1,tooth,Wyoming USA,Hanson Research Station,70 mya,fossil.swau.edu,https://fossil.swau.edu/link/Public/Browse/Specimen/HRS13935,HRS13935.stl,,,,
dudley.png,Trilobite,"Trilobites appeared in the ocean around 600 mya, long before fish or dinosaurs. They are one of the earliest animals found to have eyes. They flourished in the seas for over 300 million years. Fossils are quite common as they were widespread, lived in the ocean and had an easily fossilized exoskeleton.",1,exoskeleton,"Dudley, England",Lapworth Museum of Geology,428 mya,sketchfab,https://sketchfab.com/3d-models/the-dudley-bug-trilobite-8d3973e808d647edb64e435ec6029b5c,flat_base_trilobite.stl,,,,
Ammonite-morph-Subprionocyclus-sp.png,Ammonite Subprionocyclus sp.,"Ammonites are related to modern cephalopods (like squid, octopus & cuttlefish). They had squid like tentacles extending from their multi chambered shells and a sharp beak like jaws. They probably swam backwards, by squirting water from their shells.",1,exoskeleton,Wyoming USA,"Yale Peabody Museum, New Haven, CT, USA",85mya,morphosource,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/10340,"subprionocycus_sp.stl,subprionocycus_sp_half.stl",,,,https://www.nationalgeographic.com/animals/prehistoric/ammonites/
Ammonite-perisphinctes-sp-47mm.png,Ammonite Perisphinctes sp.,"Most ammonite species had coiled shells, like this one. The shell are divided into separate chambers separated by thin walls called septa. The animal always lived in the outermost chamber, but it could pump air into the other chambers through a narrow tube called a siphuncle. This probably helped them adjust their buoyancy.",1,exoskeleton,Madagascar,J. Tünnermann Collection,155 mya,sketchfab,https://sketchfab.com/3d-models/perisphinctes-sp-4426d269d52b4269b421226c054b9e07,perisphinctoidea-sp.stl,,,,
Amonnite_10019_2_M40007-72281_morph.png,Ammonite Eotetragonites,"Ammonites were once one of the most abundant animals in the sea. They went extinct along with the dinosaurs 66 mya. They ranged in size from a few mm to almost 2m across. They were carnivores, feeding on plankton, crustaceans and other ammonites.  ",,exoskeleton,"Bee Creek, California","Raymond M. Alf Museum of Paleontology
",115mya,morphosource,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/40007,"ammonite_10019_2_morph.stl, ammonite_10019_2_morph_half.stl  ",,,,
footprint.png,Australian Theropod footprint,"Trace fossils like this footprint help scientists figure out how dinosaurs walked. It sticks up, because it was made by sediment filling up the original footprint before hardening into stone.",1,footprint,"Fireclay caverns of Mount Morgan, Queensland, Australia",,195mya,sketchfab,https://sketchfab.com/3d-models/dinosaur-footprint-mount-morgan-a1-f81831f616ae47eab3a8a179efa0c4c9,,,,,
tiktaalik.png,Tiktaalik Roseae,"Tiktaalik is an extinct fish, with a flat crocodile like head and sturdy boned fins that it could use to pull itself along in the shallows or even on land. It has features of both fish and early tetrapods (the first 4 legged animals to live on land) which helps us understand how the first land animals evolved. ",1/6,skeleton,"Ellesmere Island, Canada","Museum of Natural Sciences (Brussels, Belgium)",375 mya,sketchfab,https://sketchfab.com/3d-models/tiktaalik-roseae-4bcd9214503e402d88014f6a37297154,,,,,
